pais,quantidade,valor,ano,categoria
Bulgária,0,0,1985,Espumantes
Bulgária,0,0,1986,Espumantes
Bulgária,0,0,1987,Espumantes
Bulgária,0,0,1988,Espumantes
Bulgária,0,0,1989,Espumantes
Bulgária,0,0,1990,Espumantes
Bulgária,0,0,1991,Espumantes
Bulgária,0,0,1992,Espumantes
Bulgária,0,0,1993,Espumantes
Bulgária,0,0,1994,Espumantes
Bulgária,0,0,1995,Espumantes
Bulgária,0,0,1996,Espumantes
Bulgária,0,0,1997,Espumantes
Bulgária,0,0,1998,Espumantes
Bulgária,0,0,1999,Espumantes
Bulgária,0,0,2000,Espumantes
Bulgária,0,0,2001,Espumantes
Bulgária,0,0,2002,Espumantes
Bulgária,0,0,2003,Espumantes
Bulgária,0,0,2004,Espumantes
Bulgária,0,0,2005,Espumantes
Bulgária,0,0,2006,Espumantes
Bulgária,0,0,2007,Espumantes
Bulgária,0,0,2008,Espumantes
Bulgária,0,0,2009,Espumantes
Bulgária,0,0,2010,Espumantes
Bulgária,0,0,2011,Espumantes
Bulgária,0,0,2012,Espumantes
Bulgária,0,0,2013,Espumantes
Bulgária,222,546,2014,Espumantes
Bulgária,4,7,2015,Espumantes
Bulgária,0,0,2016,Espumantes
Bulgária,3,716,2017,Espumantes
Bulgária,0,0,2018,Espumantes
Bulgária,0,0,2019,Espumantes
Bulgária,0,0,2020,Espumantes
Bulgária,0,0,2021,Espumantes
Bulgária,976,1535,2022,Espumantes
Bulgária,0,0,2023,Espumantes
Bulgária,0,0,2024,Espumantes
Bélgica,0,0,1970,Espumantes
Bélgica,0,0,1971,Espumantes
Bélgica,0,0,1972,Espumantes
Bélgica,0,0,1973,Espumantes
Bélgica,0,0,1974,Espumantes
Bélgica,0,0,1975,Espumantes
Bélgica,0,0,1976,Espumantes
Bélgica,0,0,1977,Espumantes
Bélgica,0,0,1978,Espumantes
Bélgica,0,0,1979,Espumantes
Bélgica,0,0,1980,Espumantes
Bélgica,0,0,1981,Espumantes
Bélgica,0,0,1982,Espumantes
Bélgica,0,0,1983,Espumantes
Bélgica,0,0,1984,Espumantes
Bélgica,0,0,1985,Espumantes
Bélgica,0,0,1986,Espumantes
Bélgica,0,0,1987,Espumantes
Bélgica,0,0,1988,Espumantes
Bélgica,0,0,1989,Espumantes
Bélgica,0,0,1990,Espumantes
Bélgica,0,0,1991,Espumantes
Bélgica,0,0,1992,Espumantes
Bélgica,0,0,1993,Espumantes
Bélgica,0,0,1994,Espumantes
Bélgica,0,0,1995,Espumantes
Bélgica,0,0,1996,Espumantes
Bélgica,0,0,1997,Espumantes
Bélgica,0,0,1998,Espumantes
Bélgica,0,0,1999,Espumantes
Bélgica,0,0,2000,Espumantes
Bélgica,0,0,2001,Espumantes
Bélgica,0,0,2002,Espumantes
Bélgica,0,0,2003,Espumantes
Bélgica,0,0,2004,Espumantes
Bélgica,0,0,2005,Espumantes
Bélgica,0,0,2006,Espumantes
Bélgica,0,0,2007,Espumantes
Bélgica,0,0,2008,Espumantes
Bélgica,0,0,2009,Espumantes
Bélgica,0,0,2010,Espumantes
Bélgica,0,0,2011,Espumantes
Bélgica,0,0,2012,Espumantes
Bélgica,0,0,2013,Espumantes
Bélgica,0,0,2014,Espumantes
Bélgica,0,0,2015,Espumantes
Bélgica,0,0,2016,Espumantes
Bélgica,923,50574,2017,Espumantes
