categoria,item,quantidade,ano
DERIVADOS,Frisante,0,2015
DERIVADOS,Frisante,0,2016
DERIVADOS,Frisante,0,2017
DERIVADOS,Frisante,0,2018
DERIVADOS,Frisante,0,2019
DERIVADOS,Frisante,0,2020
DERIVADOS,Frisante,1390,2021
DERIVADOS,Frisante,0,2022
DERIVADOS,Frisante,0,2023
DERIVADOS,Frisante,0,2024
DERIVADOS,Jeropiga,0,1970
DERIVADOS,Jeropiga,0,1971
DERIVADOS,Jeropiga,0,1972
DERIVADOS,Jeropiga,0,1973
DERIVADOS,Jeropiga,0,1974
DERIVADOS,Jeropiga,0,1975
DERIVADOS,Jeropiga,107500,1976
DERIVADOS,Jeropiga,12500,1977
DERIVADOS,Jeropiga,60000,1978
DERIVADOS,Jeropiga,20000,1979
DERIVADOS,Jeropiga,0,1980
DERIVADOS,Jeropiga,0,1981
DERIVADOS,Jeropiga,0,1982
DERIVADOS,Jeropiga,0,1983
DERIVADOS,Jeropiga,0,1984
DERIVADOS,Jeropiga,234500,1985
DERIVADOS,Jeropiga,173000,1986
DERIVADOS,Jeropiga,122000,1987
DERIVADOS,Jeropiga,61000,1988
DERIVADOS,Jeropiga,42000,1989
DERIVADOS,Jeropiga,0,1990
DERIVADOS,Jeropiga,0,1991
DERIVADOS,Jeropiga,60000,1992
DERIVADOS,Jeropiga,0,1993
DERIVADOS,Jeropiga,0,1994
DERIVADOS,Jeropiga,0,1995
DERIVADOS,Jeropiga,0,1996
DERIVADOS,Jeropiga,0,1997
DERIVADOS,Jeropiga,0,1998
DERIVADOS,Jeropiga,0,1999
DERIVADOS,Jeropiga,0,2000
DERIVADOS,Jeropiga,0,2001
DERIVADOS,Jeropiga,0,2002
DERIVADOS,Jeropiga,0,2003
DERIVADOS,Jeropiga,0,2004
DERIVADOS,Jeropiga,0,2005
DERIVADOS,Jeropiga,0,2006
DERIVADOS,Jeropiga,0,2007
DERIVADOS,Jeropiga,0,2008
DERIVADOS,Jeropiga,0,2009
DERIVADOS,Jeropiga,69000,2010
DERIVADOS,Jeropiga,0,2011
DERIVADOS,Jeropiga,0,2012
DERIVADOS,Jeropiga,0,2013
DERIVADOS,Jeropiga,0,2014
DERIVADOS,Jeropiga,0,2015
DERIVADOS,Jeropiga,0,2016
DERIVADOS,Jeropiga,0,2017
DERIVADOS,Jeropiga,0,2018
DERIVADOS,Jeropiga,0,2019
DERIVADOS,Jeropiga,2000,2020
DERIVADOS,Jeropiga,3540,2021
DERIVADOS,Jeropiga,5000,2022
DERIVADOS,Jeropiga,4500,2023
DERIVADOS,Jeropiga,0,2024
DERIVADOS,Licor de bagaceira,0,1970
DERIVADOS,Licor de bagaceira,0,1971
DERIVADOS,Licor de bagaceira,0,1972
DERIVADOS,Licor de bagaceira,0,1973
DERIVADOS,Licor de bagaceira,0,1974
DERIVADOS,Licor de bagaceira,0,1975
DERIVADOS,Licor de bagaceira,0,1976
DERIVADOS,Licor de bagaceira,0,1977
DERIVADOS,Licor de bagaceira,0,1978
DERIVADOS,Licor de bagaceira,0,1979
DERIVADOS,Licor de bagaceira,0,1980
DERIVADOS,Licor de bagaceira,0,1981
DERIVADOS,Licor de bagaceira,0,1982
DERIVADOS,Licor de bagaceira,0,1983
DERIVADOS,Licor de bagaceira,0,1984
DERIVADOS,Licor de bagaceira,0,1985
DERIVADOS,Licor de bagaceira,0,1986
DERIVADOS,Licor de bagaceira,0,1987
DERIVADOS,Licor de bagaceira,0,1988
DERIVADOS,Licor de bagaceira,0,1989
DERIVADOS,Licor de bagaceira,0,1990
DERIVADOS,Licor de bagaceira,0,1991
DERIVADOS,Licor de bagaceira,0,1992
DERIVADOS,Licor de bagaceira,0,1993
DERIVADOS,Licor de bagaceira,0,1994
DERIVADOS,Licor de bagaceira,0,1995
DERIVADOS,Licor de bagaceira,0,1996
DERIVADOS,Licor de bagaceira,0,1997
DERIVADOS,Licor de bagaceira,0,1998
DERIVADOS,Licor de bagaceira,0,1999
DERIVADOS,Licor de bagaceira,0,2000
DERIVADOS,Licor de bagaceira,0,2001
DERIVADOS,Licor de bagaceira,0,2002
DERIVADOS,Licor de bagaceira,0,2003
DERIVADOS,Licor de bagaceira,0,2004
DERIVADOS,Licor de bagaceira,0,2005
DERIVADOS,Licor de bagaceira,0,2006
DERIVADOS,Licor de bagaceira,0,2007
DERIVADOS,Licor de bagaceira,0,2008
DERIVADOS,Licor de bagaceira,0,2009
DERIVADOS,Licor de bagaceira,0,2010
DERIVADOS,Licor de bagaceira,0,2011
DERIVADOS,Licor de bagaceira,0,2012
DERIVADOS,Licor de bagaceira,0,2013
DERIVADOS,Licor de bagaceira,0,2014
DERIVADOS,Licor de bagaceira,0,2015
DERIVADOS,Licor de bagaceira,0,2016
DERIVADOS,Licor de bagaceira,0,2017
DERIVADOS,Licor de bagaceira,0,2018
DERIVADOS,Licor de bagaceira,1507,2019
DERIVADOS,Licor de bagaceira,5800,2020
DERIVADOS,Licor de bagaceira,0,2021
DERIVADOS,Licor de bagaceira,0,2022
DERIVADOS,Licor de bagaceira,0,2023
DERIVADOS,Licor de bagaceira,0,2024
DERIVADOS,Licorosos,282500,1970
DERIVADOS,Licorosos,270000,1971
DERIVADOS,Licorosos,254600,1972
DERIVADOS,Licorosos,176500,1973
DERIVADOS,Licorosos,135000,1974
DERIVADOS,Licorosos,24000,1975
DERIVADOS,Licorosos,4400,1976
DERIVADOS,Licorosos,525000,1977
DERIVADOS,Licorosos,479971,1978
DERIVADOS,Licorosos,34000,1979
DERIVADOS,Licorosos,0,1980
DERIVADOS,Licorosos,0,1981
DERIVADOS,Licorosos,0,1982
DERIVADOS,Licorosos,0,1983
DERIVADOS,Licorosos,0,1984
DERIVADOS,Licorosos,0,1985
DERIVADOS,Licorosos,0,1986
DERIVADOS,Licorosos,0,1987
DERIVADOS,Licorosos,3000,1988
DERIVADOS,Licorosos,20000,1989
